,mean,sd,hdi94_lb,hdi94_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
Intercept,-0.3829028766208475,0.23186693971892713,-0.8768910264616432,0.0066487640670602755,1169.5392851978856,1346.7486646426128,1.0022777467195632,0.00682800991262424,0.005129010956846482
age_scaled,0.16458782769865854,0.06926480486565327,0.030847790220629917,0.2922690723408953,4948.806267892595,3095.8559305634185,1.0005224225616403,0.0009853280265725718,0.001166471340799456
income_bracket[medium],0.19682366727234402,0.19795752220833554,-0.17795459593887264,0.566110378140267,3180.719068021123,2683.982789454608,1.0017163012220225,0.0035101721261894315,0.002965087997246848
income_bracket[high],0.41600310728346357,0.2480293003023491,-0.05712905536777052,0.866950686090587,3906.847614755636,3098.4429964847895,1.0000951048671045,0.00396812260164813,0.004006090381521006
urban,0.6265447373517794,0.19335670870255894,0.2785683354963168,0.9898293832409706,2650.786869167833,2432.3895208208073,1.001119550948847,0.003758164437013838,0.002935398683138339
1|region_sigma,0.3716680865597913,0.17713762049210563,0.02940102790442593,0.69680860494624,951.3747659167536,969.2031614649999,1.002028302145567,0.0055430882865050305,0.003622247507441575
