,mean,sd,hdi94_lb,hdi94_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
v,0.7133795512575155,0.06783777036407244,0.5879192924514831,0.8413270068875516,1133.9686272114284,1088.072808011234,1.0011835642680946,0.002013661355034026,0.0014218503447823252
a,1.3035273478933522,0.044057575804506095,1.2235717253402638,1.3880039886458095,984.2617374194951,1125.8612255755531,1.0020655015090387,0.0014063670413589685,0.0009734773326937922
z,0.5098395467820154,0.02348497723309251,0.4634215986859738,0.5512272038689149,901.9214644249703,998.4464653483567,1.0003831084748545,0.0007866701672500808,0.000545883521840261
t,0.22233460297229055,0.030463080332521583,0.16153971882366233,0.27411179665153085,791.5882997679837,973.6799825086897,1.0047765233246642,0.0010933812671465313,0.0007906200808062221
