,mean,sd,hdi94_lb,hdi94_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
Intercept,10.401416826343599,0.1510182433469732,10.13000731590214,10.69664660572342,5717.638531002198,2888.3654694245115,1.0032067632168231,0.002008347027081678,0.002925246945750885
x,1.846758516966503,0.17452090957711572,1.5009003743507336,2.160781402730121,5869.091423754096,3139.6354401427366,1.0033486697737928,0.0022786005861303,0.0027933013111463238
sigma,1.6448701771947607,0.10808845109992761,1.4402114653329865,1.841786364710807,5683.826578433196,3225.814222604695,1.000794526921456,0.00143207293915911,0.0016507656721370357
